source_name,source_portfolio_url,portfolio_company,portfolio_company_website,raw_title_or_note,raw_extraction_basis,triage_status
BK Growth,https://www.bkgrowth.com/portfolio,Innovative Lab Services,https://www.innlabserv.com/,Innovative Lab Services,approved page HTML gallery title/link,needs_triage
BK Growth,https://www.bkgrowth.com/portfolio,IT Pipes,https://itpipes.com/,IT Pipes,approved page HTML gallery title/link,curated_seed
BK Growth,https://www.bkgrowth.com/portfolio,JD2M,https://www.jedeclaremonmeuble.com/,JD2M,approved page HTML gallery title/link,needs_triage
BK Growth,https://www.bkgrowth.com/portfolio,Juvonno,https://www.juvonno.com/,Junvonno,approved page HTML gallery title/link,needs_triage
BK Growth,https://www.bkgrowth.com/portfolio,Mas Labor,https://maslabor.com/,Mas Labor,approved page HTML gallery title/link,curated_seed
BK Growth,https://www.bkgrowth.com/portfolio,MaxRTE,https://maxrte.com/,MaxRTE.png,approved page HTML gallery title/link,needs_triage
BK Growth,https://www.bkgrowth.com/portfolio,MD Clarity,https://www.mdclarity.com/,MD Clarity,approved page HTML gallery title/link,needs_triage
BK Growth,https://www.bkgrowth.com/portfolio,North American Trade Schools,https://natradeschools.edu/,North American Trade Schools,approved page HTML gallery title/link,not_curated_education_pending
BK Growth,https://www.bkgrowth.com/portfolio,NovoPath,https://www.novopath.com/,NovoPath,approved page HTML gallery title/link,curated_seed
BK Growth,https://www.bkgrowth.com/portfolio,Nutrishare,https://nutrishare.com/,Nutrishare,approved page HTML gallery title/link,needs_triage
BK Growth,https://www.bkgrowth.com/portfolio,Objective Management Group,https://www.objectivemanagement.com/,objective-logo.webp,approved page HTML gallery title/link,needs_triage
BK Growth,https://www.bkgrowth.com/portfolio,Olea Software,https://www.oleasoftware.com/,Olea Software,approved page HTML gallery title/link,needs_triage
BK Growth,https://www.bkgrowth.com/portfolio,P3 Works,https://www.p3-works.com/home,P3 Works,approved page HTML gallery title/link,curated_seed
BK Growth,https://www.bkgrowth.com/portfolio,Pacific Fertility Center,https://www.pfcla.com/,Pacific Fertility Center,approved page HTML gallery title/link,not_curated_consumer_health
BK Growth,https://www.bkgrowth.com/portfolio,Page Vault,https://www.page-vault.com/,Page Vault,approved page HTML gallery title/link,curated_seed
